time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
1.796511,-0.0782330201822,-0.998237997716,-1.18768462502,1.9378012303,0.672650575488,1.02776712788,-0.498160260866,100.0,0.0774660297882,-0.998621492913,1.18883511061,1.94086919187,-0.6711165947,1.02853411828,0.502762203229,92.7184448242
1.796705,-0.0782330201822,-0.998237997716,-1.18768462502,1.9378012303,0.672650575488,1.02776712788,-0.498160260866,100.0,0.0774660297882,-0.998621492913,1.18883511061,1.94086919187,-0.6711165947,1.02853411828,0.502762203229,92.7184448242
1.806886,-0.0778495249852,-0.99900498811,-1.18768462502,1.93971870628,0.673034070685,1.02815062308,-0.497009775275,100.0,0.0778495249852,-0.998621492913,1.18921860581,1.94048569668,-0.670349604306,1.02853411828,0.501995212836,92.7184448242
1.817180,-0.0790000105761,-0.998621492913,-1.18806812022,1.9378012303,0.672650575488,1.02815062308,-0.497776765669,100.0,0.0782330201822,-0.998621492913,1.18921860581,1.94086919187,-0.669966109109,1.02891761347,0.502378708032,92.7184448242
1.826909,-0.0790000105761,-0.998621492913,-1.18768462502,1.9378012303,0.672267080291,1.02815062308,-0.497393270472,100.0,0.0770825345912,-0.998621492913,1.18921860581,1.94048569668,-0.669966109109,1.02891761347,0.502762203229,92.7184448242
1.836755,-0.0793835057731,-0.99900498811,-1.18845161541,1.9378012303,0.672650575488,1.02738363269,-0.498543756063,100.0,0.0782330201822,-0.998237997716,1.18883511061,1.94086919187,-0.670349604306,1.02891761347,0.502378708032,92.7184448242
1.846956,-0.0793835057731,-0.99900498811,-1.18806812022,1.93818472549,0.672267080291,1.02853411828,-0.498160260866,100.0,0.0778495249852,-0.99900498811,1.18883511061,1.94010220148,-0.6711165947,1.02968460387,0.501611717639,92.7184448242
1.859172,-0.0786165153791,-0.99900498811,-1.18883511061,1.9374177351,0.672650575488,1.02815062308,-0.497009775275,100.0,0.0774660297882,-0.998237997716,1.18921860581,1.94010220148,-0.670349604306,1.02853411828,0.502378708032,92.7184448242
1.866962,-0.0782330201822,-0.998621492913,-1.18768462502,1.93818472549,0.673034070685,1.02738363269,-0.498543756063,100.0,0.0770825345912,-0.997854502519,1.18883511061,1.94125268707,-0.670349604306,1.02968460387,0.501995212836,92.7184448242
1.877220,-0.0790000105761,-0.998621492913,-1.18730112982,1.9378012303,0.673034070685,1.02738363269,-0.497776765669,100.0,0.0782330201822,-0.998621492913,1.18806812022,1.94125268707,-0.670349604306,1.02853411828,0.501995212836,92.7184448242
